word	anger	fear	joy	love	sadness	surprise	thankfulness	disgust	guilt	totalClassify	correctIfAll	correctIfSingle	trust
repost	0	2	0	0	0	0	0	0	0	2	1	1		0.5
ang	0	0	0	0	0	0	0	0	2	2	1	1		0.5
#models	0	0	0	2	0	0	0	0	0	2	2	1		0.5
#you	0	0	0	2	0	0	0	0	0	2	2	1		0.5
deepest	0	4	0	0	0	0	0	0	0	4	4	2		0.5
#action	0	2	0	0	0	0	0	0	0	2	1	1		0.5
#plur	2	0	0	0	0	0	0	0	0	2	1	1		0.5
honestly	2	0	0	0	0	0	0	0	0	2	0	1		0.5
#car	0	0	2	0	0	0	0	0	0	2	2	1		0.5
et	0	0	0	0	0	0	0	0	2	2	1	1		0.5
brunette	0	0	0	2	0	0	0	0	0	2	2	1		0.5
followers	0	0	0	4	0	1	1	0	0	6	4	3		0.5
#fashion	0	0	1	5	0	0	0	0	0	6	6	3		0.5
charger	2	0	0	0	0	0	0	0	0	2	0	1		0.5
#fucking	0	0	2	0	0	0	0	0	0	2	2	1		0.5
jail	0	0	0	0	0	0	0	2	0	2	0	1		0.5
smell	0	0	0	0	0	0	0	2	0	2	0	1		0.5
#success	0	3	1	0	0	0	0	0	0	4	2	2		0.5
#ferguson	0	1	0	0	0	0	0	5	0	6	1	3		0.5
died	0	2	0	0	0	0	0	0	0	2	2	1		0.5
saturday	0	0	0	0	0	0	0	0	2	2	0	1		0.5
:'(	0	0	0	0	2	0	0	0	0	2	1	1		0.5
#i	0	0	0	2	0	0	0	0	0	2	2	1		0.5
#pissed	2	0	0	0	0	0	0	0	0	2	0	1		0.5
#mad	2	0	0	0	0	0	0	0	0	2	1	1		0.5
high	0	0	0	0	0	0	0	2	0	2	1	1		0.5
burn	0	0	0	0	0	0	0	2	0	2	0	1		0.5
support	0	0	0	3	0	0	0	1	0	4	1	2		0.5
deliver	0	0	0	0	0	2	0	0	0	2	1	1		0.5
#girl	0	0	2	0	0	0	0	0	0	2	2	1		0.5
overcome	0	2	0	0	0	0	0	0	0	2	1	1		0.5
#followers	0	0	0	0	0	2	0	0	0	2	2	1		0.5
#followback	0	0	0	2	0	0	0	0	0	2	2	1		0.5
hash	0	0	0	0	0	0	0	0	2	2	2	1		0.5
#bestfriend	0	0	0	2	0	0	0	0	0	2	0	1		0.5
boxing	0	0	0	0	0	0	0	0	4	4	4	2		0.5
missing	3	0	0	0	1	0	0	0	0	4	0	2		0.5
#business	0	0	2	0	0	0	0	0	0	2	1	1		0.5
#nice	0	0	2	0	0	0	0	0	0	2	1	1		0.5
#family	0	0	1	6	0	1	0	0	0	8	3	4		0.5
webcam	0	0	0	2	0	0	0	0	0	2	2	1		0.5
de	0	0	2	0	0	0	0	0	0	2	1	1		0.5
wrong	5	1	0	1	0	0	0	0	1	8	4	4		0.5
fears	0	2	0	0	0	0	0	0	0	2	1	1		0.5
violence	2	0	0	0	0	0	0	0	0	2	0	1		0.5
met	0	0	0	0	0	0	2	0	0	2	0	1		0.5
pharrell	0	0	2	0	0	0	0	0	0	2	0	1		0.5
consume	0	2	0	0	0	0	0	0	0	2	0	1		0.5
pissed	2	0	0	0	0	0	0	0	0	2	0	1		0.5
emily	0	0	0	0	0	0	2	0	0	2	1	1		0.5
ran	0	0	0	0	0	0	2	0	0	2	1	1		0.5
hour	0	0	2	0	0	0	0	0	0	2	0	1		0.5
rip	0	0	0	0	2	0	0	0	0	2	1	1		0.5
wonder	0	0	0	0	0	0	0	0	2	2	0	1		0.5
pleads	0	0	0	0	0	0	0	0	2	2	1	1		0.5
turns	0	0	0	0	0	2	0	0	0	2	0	1		0.5
steps	0	2	0	0	0	0	0	0	0	2	1	1		0.5
throwback	0	0	2	0	0	0	0	0	0	2	2	1		0.5
lord	0	0	0	0	0	0	2	0	0	2	2	1		0.5
within	2	0	0	0	0	0	0	0	0	2	0	1		0.5
#pussy	0	0	2	0	0	0	0	0	0	2	2	1		0.5
drain	0	0	0	0	0	0	0	2	0	2	1	1		0.5
usa	0	0	0	2	0	0	0	0	0	2	2	1		0.5
measure	0	2	0	0	0	0	0	0	0	2	2	1		0.5
#perspective	0	0	0	0	0	0	2	0	0	2	2	1		0.5
wearing	0	0	0	0	0	0	0	2	0	2	0	1		0.5
